Iteration,log_10 Error
0.000000,7.969404
1.000000,3.989424
2.000000,2.937651
3.000000,2.336358
4.000000,2.092355
5.000000,2.075781
6.000000,2.075012
7.000000,2.074825
8.000000,2.074662
9.000000,2.074544
10.000000,2.074250
11.000000,2.073937
12.000000,2.073308
13.000000,2.073148
14.000000,2.072768
15.000000,2.072656
16.000000,2.071829
17.000000,2.071748
18.000000,2.071285
19.000000,2.071027
20.000000,2.070748
21.000000,2.070329
22.000000,2.069801
23.000000,2.069562
24.000000,2.069263
25.000000,2.068867
26.000000,2.068316
27.000000,2.068075
28.000000,2.067777
29.000000,2.067352
30.000000,2.066829
31.000000,2.066566
32.000000,2.066291
33.000000,2.065794
34.000000,2.065342
35.000000,2.065184
36.000000,2.064396
37.000000,2.064209
38.000000,2.063853
39.000000,2.063473
40.000000,2.062904
41.000000,2.062631
42.000000,2.062365
43.000000,2.061941
44.000000,2.060587
45.000000,2.060397
46.000000,2.060221
47.000000,2.060071
48.000000,2.059965
49.000000,2.059608
50.000000,2.059150
51.000000,2.058656
52.000000,2.058384
53.000000,2.057705
54.000000,2.057428
55.000000,2.057321
56.000000,2.056955
57.000000,2.056464
58.000000,2.056002
59.000000,2.055621
60.000000,2.055049
61.000000,2.054785
62.000000,2.054096
63.000000,2.053946
64.000000,2.053143
65.000000,2.052862
66.000000,2.052741
67.000000,2.052392
68.000000,2.051916
69.000000,2.050603
70.000000,2.050395
71.000000,2.050057
72.000000,2.049394
73.000000,2.048263
74.000000,2.048001
75.000000,2.047881
76.000000,2.047510
77.000000,2.046843
78.000000,2.045715
79.000000,2.045430
80.000000,2.045292
81.000000,2.044962
82.000000,2.044020
83.000000,2.043163
84.000000,2.042812
85.000000,2.042205
86.000000,2.041938
87.000000,2.040409
88.000000,2.040125
89.000000,2.039976
90.000000,2.039854
91.000000,2.039443
92.000000,2.038477
93.000000,2.037642
94.000000,2.037132
95.000000,2.036684
96.000000,2.036180
97.000000,2.033192
98.000000,2.032937
99.000000,2.032785
100.000000,2.032652
101.000000,2.032222
102.000000,2.030791
103.000000,2.028722
104.000000,2.028328
105.000000,2.027761
106.000000,2.026269
107.000000,2.024258
108.000000,2.023868
109.000000,2.022452
110.000000,2.021487
111.000000,2.020646
112.000000,2.019572
113.000000,2.013728
114.000000,2.012863
115.000000,2.011920
116.000000,2.005637
117.000000,1.984283
118.000000,1.984061
119.000000,1.983920
120.000000,1.983644
121.000000,1.983380
122.000000,1.983126
123.000000,1.982879
124.000000,1.982640
125.000000,1.982406
126.000000,1.982176
127.000000,1.981950
128.000000,1.981727
129.000000,1.981581
130.000000,1.981299
131.000000,1.981032
132.000000,1.980777
133.000000,1.980531
134.000000,1.980292
135.000000,1.980059
136.000000,1.979831
137.000000,1.979606
138.000000,1.979461
139.000000,1.979173
140.000000,1.978903
141.000000,1.978646
142.000000,1.978399
143.000000,1.978161
144.000000,1.977929
145.000000,1.977701
146.000000,1.977581
147.000000,1.977280
148.000000,1.977002
149.000000,1.976740
150.000000,1.976490
151.000000,1.976250
152.000000,1.976017
153.000000,1.975789
154.000000,1.975646
155.000000,1.975347
156.000000,1.975071
157.000000,1.974811
158.000000,1.974565
159.000000,1.974327
160.000000,1.974096
161.000000,1.973980
162.000000,1.973667
163.000000,1.973383
164.000000,1.973118
165.000000,1.972869
166.000000,1.972629
167.000000,1.972398
168.000000,1.972270
169.000000,1.971957
170.000000,1.971672
171.000000,1.971409
172.000000,1.971161
173.000000,1.970924
174.000000,1.970694
175.000000,1.970521
176.000000,1.970219
177.000000,1.969944
178.000000,1.969688
179.000000,1.969446
180.000000,1.969213
181.000000,1.969064
182.000000,1.968750
183.000000,1.968467
184.000000,1.968207
185.000000,1.967963
186.000000,1.967728
187.000000,1.967578
188.000000,1.967260
189.000000,1.966977
190.000000,1.966717
191.000000,1.966473
192.000000,1.966239
193.000000,1.966063
194.000000,1.965752
195.000000,1.965474
196.000000,1.965219
197.000000,1.964978
198.000000,1.964867
199.000000,1.964526
200.000000,1.964230
201.000000,1.963963
202.000000,1.963715
203.000000,1.963480
204.000000,1.963294
205.000000,1.962980
206.000000,1.962704
207.000000,1.962450
208.000000,1.962212
209.000000,1.962046
210.000000,1.961721
211.000000,1.961437
212.000000,1.961180
213.000000,1.960940
214.000000,1.960780
215.000000,1.960449
216.000000,1.960163
217.000000,1.959906
218.000000,1.959665
219.000000,1.959492
220.000000,1.959164
221.000000,1.958882
222.000000,1.958626
223.000000,1.958388
224.000000,1.958187
225.000000,1.957869
226.000000,1.957594
227.000000,1.957343
228.000000,1.957230
229.000000,1.956868
230.000000,1.956567
231.000000,1.956302
232.000000,1.956058
233.000000,1.955877
234.000000,1.955545
235.000000,1.955263
236.000000,1.955010
237.000000,1.954892
238.000000,1.954526
239.000000,1.954225
240.000000,1.953961
241.000000,1.953719
242.000000,1.953506
243.000000,1.953186
244.000000,1.952912
245.000000,1.952665
246.000000,1.952481
247.000000,1.952143
248.000000,1.951860
249.000000,1.951608
250.000000,1.951446
251.000000,1.951094
252.000000,1.950805
253.000000,1.950550
254.000000,1.950398
255.000000,1.950038
256.000000,1.949746
257.000000,1.949489
258.000000,1.949335
259.000000,1.948974
260.000000,1.948682
261.000000,1.948426
262.000000,1.948258
263.000000,1.947903
264.000000,1.947614
265.000000,1.947361
266.000000,1.947168
267.000000,1.946825
268.000000,1.946543
269.000000,1.946294
270.000000,1.946070
271.000000,1.945742
272.000000,1.945470
273.000000,1.945366
274.000000,1.944966
275.000000,1.944658
276.000000,1.944396
277.000000,1.944226
278.000000,1.943863
279.000000,1.943574
280.000000,1.943323
281.000000,1.943091
282.000000,1.942763
283.000000,1.942493
284.000000,1.942348
285.000000,1.941965
286.000000,1.941669
287.000000,1.941415
288.000000,1.941185
289.000000,1.940852
290.000000,1.940581
291.000000,1.940422
292.000000,1.940044
293.000000,1.939752
294.000000,1.939501
