Iteration,Weighted Actual,Upper Bound
0,3.0429232978374969,3.3439532935014777
1,1.5080278106329308,3.2611887568836351
2,1.4513557241770443,3.1784242202657920
3,0.2395347748292365,3.0956596836479489
4,0.1779311336045077,3.0128951470301062
5,-1.0661073694373757,2.9301306104122631
6,-1.1221997697219031,2.8473660737944200
7,-2.3701494248682100,2.7646015371765773
8,-2.4318078845702868,2.6818370005587342
9,-3.6556728658686595,2.5990724639408911
10,-3.7213313354505431,2.5163079273230480
11,-4.9685360649253871,2.4335433907052053
12,-5.0297203886627457,2.3507788540873622
13,-6.3094384200867486,2.2680143174695191
14,-6.3652045909258081,2.1852497808516764
15,-7.6391645840456475,2.1024852442338333
16,-7.6885494145498559,2.0197207076159902
17,-8.9321551751498873,1.9369561709981473
18,-8.9831140001390928,1.8541916343803042
19,-10.2309608510225285,1.7714270977624613
20,-10.2845200145439364,1.6886625611446184
21,-11.4084889198608614,1.6058980245267753
22,-11.4306888227749308,1.5231334879089324
23,-11.5889479910502899,1.4403689512910893
