Iteration,Weighted Actual,Upper Bound
0,2.9139884260407247,3.2150184217047055
1,2.4394173893091966,3.1263346678612254
2,2.1311458966608661,3.0376509140177448
3,1.8977202596117217,2.9489671601742642
4,1.7146304075452130,2.8602834063307840
5,1.5658653838211434,2.7715996524873034
6,1.4501659330243684,2.6829158986438228
7,1.3384612610611348,2.5942321448003423
8,1.2338730421085087,2.5055483909568617
9,1.1383910463513507,2.4168646371133815
10,1.0486868910392626,2.3281808832699009
11,0.9531204157429776,2.2394971294264203
12,0.8665447941924341,2.1508133755829402
13,0.7808196753384108,2.0621296217394596
14,0.6862824430427945,1.9734458678959790
15,0.5924803602938974,1.8847621140524986
16,0.5028871659030690,1.7960783602090180
17,0.4103851887925606,1.7073946063655376
18,0.3240038996254979,1.6187108525220573
19,0.2320848293218449,1.5300270986785767
20,0.1342530366450463,1.4413433448350963
21,0.0435321318247360,1.3526595909916157
22,-0.0480885648703521,1.2639758371481353
23,-0.1356113816414243,1.1752920833046547
24,-0.2241724415388235,1.0866083294611744
25,-0.2970260149845773,0.9979245756176939
26,-0.3756356273516215,0.9092408217742134
27,-0.4629384133457046,0.8205570679307328
28,-0.5585408470973465,0.7318733140872524
29,-0.6522312616310256,0.6431895602437719
30,-0.7402040389920194,0.5545058064002915
31,-0.8302432773022469,0.4658220525568110
32,-0.9141290158130561,0.3771382987133305
33,-1.0016817633147059,0.2884545448698501
34,-1.0911019581043180,0.1997707910263696
35,-1.1957175156354654,0.1110870371828891
36,-1.2905973811419755,0.0224032833394087
37,-1.3719858404109662,-0.0662804705040718
38,-1.4484586187435229,-0.1549642243475524
39,-1.5295759874344301,-0.2436479781910329
40,-1.6093171226369094,-0.3323317320345133
41,-1.6984393892320824,-0.4210154858779938
42,-1.7845939909715456,-0.5096992397214742
43,-1.8697084320401611,-0.5983829935649547
44,-1.9542278650829832,-0.6870667474084352
45,-2.0326046981255557,-0.7757505012519156
46,-2.1064164224819071,-0.8644342550953962
47,-2.1951227984729402,-0.9531180089388767
48,-2.2836393934668044,-1.0418017627823570
49,-2.3723593985573350,-1.1304855166258376
50,-2.4590305830978600,-1.2191692704693180
51,-2.5502330610919790,-1.3078530243127986
52,-2.6383825638678817,-1.3965367781562790
53,-2.7254559268650231,-1.4852205319997593
54,-2.8032454999931105,-1.5739042858432399
55,-2.8884243544397701,-1.6625880396867203
56,-2.9839224624324139,-1.7512717935302009
57,-3.0848092509486356,-1.8399555473736815
58,-3.1906510528954213,-1.9286393012171619
59,-3.2907424828014116,-2.0173230550606425
60,-3.3945772579724198,-2.1060068089041226
61,-3.4891323461878514,-2.1946905627476032
62,-3.5842569051679143,-2.2833743165910838
63,-3.6758957546446709,-2.3720580704345644
64,-3.7617944398587793,-2.4607418242780446
65,-3.8473905619015416,-2.5494255781215251
66,-3.9293063917832813,-2.6381093319650057
67,-4.0081877620590838,-2.7267930858084863
68,-4.0914847976479596,-2.8154768396519665
69,-4.1884050829881208,-2.9041605934954471
70,-4.2891523553142292,-2.9928443473389277
71,-4.3844415126892260,-3.0815281011824078
72,-4.4763487666146160,-3.1702118550258884
73,-4.5638708265171211,-3.2588956088693690
74,-4.6453676922202822,-3.3475793627128496
75,-4.7392558960222333,-3.4362631165563298
76,-4.8478625602569210,-3.5249468703998104
77,-4.9586525216776618,-3.6136306242432910
78,-5.0686591627915458,-3.7023143780867711
79,-5.1804187502187711,-3.7909981319302517
80,-5.2866394054301882,-3.8796818857737323
81,-5.4013166758191975,-3.9683656396172129
82,-5.5046699352630251,-4.0570493934606935
83,-5.6093874869993012,-4.1457331473041741
84,-5.7172180125725589,-4.2344169011476538
85,-5.8166775628678673,-4.3231006549911344
86,-5.9113272789452784,-4.4117844088346150
87,-5.9995728540753648,-4.5004681626780956
88,-6.0768896995474648,-4.5891519165215762
89,-6.1523090771245661,-4.6778356703650568
90,-6.2494182888074512,-4.7665194242085374
91,-6.3496106885844057,-4.8552031780520180
92,-6.4530666585734453,-4.9438869318954977
93,-6.5646636464352319,-5.0325706857389783
94,-6.6676181968126507,-5.1212544395824589
95,-6.7570165101135169,-5.2099381934259394
96,-6.8512486949586648,-5.2986219472694200
97,-6.9442690894661245,-5.3873057011129006
98,-7.0324983387313509,-5.4759894549563812
99,-7.1222846529903174,-5.5646732087998609
100,-7.2231567206218035,-5.6533569626433415
101,-7.3253428540732868,-5.7420407164868221
102,-7.4326526759973195,-5.8307244703303027
103,-7.5350096584386250,-5.9194082241737833
104,-7.6481519864001646,-6.0080919780172639
