Iteration,Log Error
0.0000,4.2728829202989891
1.0000,3.4689681885827577
2.0000,3.0569181567591013
3.0000,2.8160747050891706
4.0000,2.7104093007574890
5.0000,2.6975745028752560
6.0000,2.5862932460273944
7.0000,2.5314245084587252
8.0000,2.3850748333779990
9.0000,2.3548140868426342
10.0000,2.2573303749533831
11.0000,2.2025511036496637
12.0000,2.1692382378425976
13.0000,2.1483697049987893
14.0000,2.1417732492394461
15.0000,2.0949491187081750
16.0000,2.0623665242545544
17.0000,2.0130944587318562
18.0000,1.9380767509161183
19.0000,1.9258219455189172
20.0000,1.8773145541343803
21.0000,1.8567341509878719
22.0000,1.8442230963991020
23.0000,1.8378797631118085
24.0000,1.8349776286238728
25.0000,1.8317635696512067
26.0000,1.8304916230418675
27.0000,1.8285678489125512
28.0000,1.8279306694643271
29.0000,1.8265227012290137
30.0000,1.8254988480402587
31.0000,1.8239698276613887
32.0000,1.8161764313577329
33.0000,1.8137542326171419
34.0000,1.7853879935036192
35.0000,1.6633859646828275
36.0000,1.5942535264035953
37.0000,1.2317153616200367
38.0000,0.9856721576813873
39.0000,0.7684836577841589
40.0000,0.4580159317255800
41.0000,0.1721672743901625
42.0000,-0.1247965157863126
43.0000,-0.3621936244562793
44.0000,-0.4321981691255214
45.0000,-0.4486774922436716
46.0000,-0.5166421946440098
47.0000,-0.5244327394702926
48.0000,-0.5474741478364822
49.0000,-0.5545802125987406
50.0000,-0.5590162411246988
51.0000,-0.5611812033489642
52.0000,-0.5669906779467008
53.0000,-0.5964012964078547
54.0000,-0.6321997984634627
55.0000,-0.6744266928385551
56.0000,-0.7638707376220368
57.0000,-0.8838652058793403
58.0000,-0.9649211864088387
59.0000,-1.0136567283522002
60.0000,-1.0403363740769349
61.0000,-1.0476160309267042
62.0000,-1.0490697897449694
63.0000,-1.0527267636683104
64.0000,-1.0547153650622727
65.0000,-1.0567817799434793
66.0000,-1.0675541154762991
67.0000,-1.1087900726547779
68.0000,-1.2244572578586688
69.0000,-1.3963850496215473
70.0000,-1.5887919915416975
71.0000,-1.8250137624208991
72.0000,-2.1562832784646777
73.0000,-2.2448090578705533
74.0000,-2.5533863832519139
75.0000,-2.6731923627968057
76.0000,-3.0590363018362092
77.0000,-3.1635293581549693
78.0000,-3.2878057782279209
79.0000,-3.3640194738127773
80.0000,-3.3993787363407288
