k,ferr
0,5.3053513694466234
1,4.1728789761923712
2,3.2454486920093695
3,2.5184942994856176
4,2.3555334920219133
5,2.3503404127904433
6,2.0811409804938235
7,1.9491890684452027
8,1.8168943439638374
9,1.7118304884829170
10,1.4353407041249993
11,1.2666459589543648
12,0.9933095585160215
13,0.6044507317393546
14,0.1979574149614576
15,-0.4154921126862235
16,-1.2347173960357305
17,-2.0114687777844140
18,-2.9947194193731503
19,-5.6940740792571578
20,-9.3632465111835597
21,-13.3806994051798931
22,-18.7584917986967206
